Project Number,Date Modified,Title, Description,Status,Start Date,End Date,Country,Executing Agency Partner,DAC Sector,Maximum Contribution,Contributing Organization,Expected Results,Progress and Results Achieved,Aid Type,Collaboration Type,Finance Type,Flow Type,Reporting Organization,Program Name,Selection Mechanism,Policy Markers,Region,Alternate IM Position,Budget,Locations,Other Identifier
CA-3-A031268001,2025-09-19	,Canadian-Caribbean Cooperation Fund,The goal of the Canadian-Caribbean Cooperation Fund (CCF) is to advance public sector reform and to contribute to improving the environment for business development in the Caribbean. The purposes are: (1) to strengthen public sector entities for the effective and efficient delivery of services and (2) to address bottlenecks to private sector development and business investment.   Public Works and Government Services Canada (PWGSC) is the organisation responsible for managing the CCF on behalf of CIDA. PWGSC has established a network of local fund coordinators  currently based in Guyana  Antigua  and Jamaica  who have been contracted to serve local needs  facilitate the application process and monitor local CCF initiatives.   The CCF provides technical assistance in response to initiatives proposed by local government ministries  regional organisations  business associations or institutions such as universities. These initiatives aim primarily to increase local governments capacities to formulate effective policies  to deliver efficient services  and to enhance the climate for business development. The CCF has supported more than 50 Caribbean initiatives including: development of a regional spectrum management policy framework for telecommunications harmonization; legislative drafting training in Guyana and Jamaica; a regional freedom of information workshop; debt restructuring assistance to Dominica  Antigua  and Belize; and E-governance training in Jamaica.,Terminating,2003-04-07	,2016-12-30	,"",Public Works and Government Services Canada - Consulting and Audit Canada,"Public sector policy and administrative management: 60.00%;Public finance management: 15.00%;Legal and judicial development: 10.00%;Information and communication technology (ICT): 5.00%;Business support services and institutions: 10.00%","$17,933,718",,,Results as of March 31  2011 include: the Fund delivered 62 initiatives or sub-projects before March 31  2011. The Fund advanced public sector reform and contributed to improving the environment for business development in 13 countries in the Caribbean Region as evidenced by the following: the improvement of service delivery in the health sector  most notably the development of an Enhanced Diabetic Foot Program in Guyana; improved debt structuring and management in Antigua and Barbuda  Belize  Dominica and St. Kitts and Nevis; public sector reform in Grenada through knowledge-sharing of Canada's best practices; private-sector led growth in Jamaica and Guyana resulting in improved quality of products and marketing opportunities; and an improved rule of law in the Eastern Caribbean Supreme Court in St. Lucia that resulted in an enhanced reform agenda that included public legal education and engagement.,Project-type interventions,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,NGM Americas,Pre-APP,1 - Participatory development and good governance; 1 - ICT as a tool for development;,"West Indies  regional: 100.00%",,"Budget Type:Original;Start Date:2002-04-01;End Date:2003-03-31;Value Date:2003-04-07;Value:"$500,000";Budget Type:Original;Start Date:2003-04-01;End Date:2004-03-31;Value Date:2003-04-07;Value:"$850,000";Budget Type:Original;Start Date:2004-04-01;End Date:2005-03-31;Value Date:2003-04-07;Value:"$3,600,000";Budget Type:Original;Start Date:2005-04-01;End Date:2006-03-31;Value Date:2003-04-07;Value:"$6,625,000";Budget Type:Original;Start Date:2006-04-01;End Date:2007-03-31;Value Date:2003-04-07;Value:"$6,625,000"","Geoname Code:3378644;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:6.80448 -58.15527;Geoname Code:3383330;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:5.86638 -55.16682;Geoname Code:3435910;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:-34.61315 -58.37723;Geoname Code:3439389;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:-25.30066 -57.63591;Geoname Code:3441575;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:-34.90328 -56.18816;Geoname Code:3469058;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:-15.77972 -47.92972;Geoname Code:3489854;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:17.99702 -76.79358;Geoname Code:3492908;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:18.500125 -69.98857;Geoname Code:3530597;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:19.42847 -99.12766;Geoname Code:3553478;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:23.13302 -82.38304;Geoname Code:3573374;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:18.21704 -63.05783;Geoname Code:3575551;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:17.29484 -62.7261;Geoname Code:3575635;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:15.30174 -61.38808;Geoname Code:3576023;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:17.11717 -61.84573;Geoname Code:3576812;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:13.9957 -61.00614;Geoname Code:3577887;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:13.15527 -61.22742;Geoname Code:3578069;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:16.70555 -62.21292;Geoname Code:3579925;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:12.05644 -61.74849;Geoname Code:3582672;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:17.25 -88.76667;Geoname Code:3583361;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:13.68935 -89.18718;Geoname Code:3598132;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:14.64072 -90.51327;Geoname Code:3600949;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:14.08 -87.2;Geoname Code:3617763;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:12.13282 -86.2504;Geoname Code:3621849;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:9.93333 -84.08333;Geoname Code:3646738;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:10.48801 -66.87919;Geoname Code:3652462;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:-0.22985 -78.52495;Geoname Code:3688689;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:4.60971 -74.08175;Geoname Code:3703443;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:8.9936 -79.51973;Geoname Code:3718426;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:18.53917 -72.335;Geoname Code:3871336;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:-33.45694 -70.64827;Geoname Code:3903987;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:-19.03332 -65.26274;Geoname Code:3936456;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:-12.04318 -77.02824","Reference:2002000413;Other Identifier Type:CRS Activity identifier",
CA-3-A031708003,2025-09-19	,Knowledge Building – Component 3,The Knowledge Building and Policy Dialogue Initiative provides a framework through which CIDA is able to strengthen knowledge and support analysis of development issues pertaining to Vietnam. The initiative also provides a means to identify development needs and strategies in collaboration with multilateral institutions  donors  and potential recipients.,Terminating,2010-08-18	,2013-03-31	,"Vietnam: 100.00%",IBRD Trust Funds - World Bank ,"Agricultural policy and administrative management: 60.00%;Agricultural research: 40.00%","$250,000",,,,Project-type interventions,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,OGM Indo-Pacific,Pre-APP,1 - Environmental sustainability (cross-cutting); 1 - Participatory development and good governance;,,,"Budget Type:Revised;Start Date:2010-04-01;End Date:2011-03-31;Value Date:2010-08-18;Value:"$250,000"","Geoname Code:1581130;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:21.0245 105.84117","Reference:2011200004;Other Identifier Type:CRS Activity identifier",
CA-3-A031717001,2025-09-19	,Cooperation Support Unit,This cooperation support unit is a project designed to maximize the efficiency and effectiveness of CIDA's cooperation program with Cuba  and to optimize its results. Its purpose is to support CIDA  Canadian organizations  and Cuban partners in executing their cooperation activities.   This support unit seeks to optimize the Cooperation Section's human resources. The purpose is to reduce excess administrative workload  so that human resources can concentrate on strategic analysis and planning. The support unit also chiefly offers services to the Cooperation Section and Canadian organizations. Finally  the support unit seeks to create greater synergy within the cooperation program.,Terminating,2002-08-07	,2012-05-22	,"Cuba: 100.00%",Embassy of Canada in Cuba ,"Public sector policy and administrative management: 20.00%;Public finance management: 20.00%;Democratic participation and civil society: 20.00%;Environmental policy and administrative management: 20.00%;Import support (capital goods): 20.00%","$2,862,895",,,,Project-type interventions,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,NGM Americas,Pre-APP,1 - Environmental sustainability (cross-cutting); 1 - Participatory development and good governance; 1 - ICT as a tool for development;,,,"Budget Type:Original;Start Date:2002-04-01;End Date:2003-03-31;Value Date:2002-08-07;Value:"$520,000";Budget Type:Original;Start Date:2003-04-01;End Date:2004-03-31;Value Date:2002-08-07;Value:"$537,000";Budget Type:Original;Start Date:2004-04-01;End Date:2005-03-31;Value Date:2002-08-07;Value:"$542,000";Budget Type:Original;Start Date:2005-04-01;End Date:2006-03-31;Value Date:2002-08-07;Value:"$559,000";Budget Type:Original;Start Date:2006-04-01;End Date:2007-03-31;Value Date:2002-08-07;Value:"$242,000"","Geoname Code:3553478;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:23.13302 -82.38304","Reference:2002000336;Other Identifier Type:CRS Activity identifier",
CA-3-A031785005,2025-09-19	,Improved Aid Effectiveness: External Assistance Management Module,This project aims to endow the Haitian government of an External Assistance Management Module. The module is a web-based interactive database on funding  in-kind contributions  and projects/programs funded by the international community. The module is the main tool of the Haitian government to implement the coordination framework in order to improve the planning  management  monitoring and evaluation of foreign aid  and its integration into the budget process in Haiti in order to promote transparency and accountability of funds. The module enables the government to make informed decisions and allocate resources where they are most needed.,Terminating,2012-12-19	,2013-01-10	,"Haiti: 100.00%",UNDP - United Nations Development Programme - Haiti ,"Public finance management: 20.00%;Statistical capacity building: 80.00%","$300,000",,The expected intermediate outcomes for this project include: (i) better informed decisions by the government; (ii) more effective  more efficient and more transparent use of public resources.,Results achieved as of March 2013 include: the module was put online and is use for collecting data on foreign aid; online reports by donor country and by sector are available and bi-annual information bulletins are dissiminated. These have contributed to enable : (i) better informed decisions by the government; (ii) more effective  more efficient and more transparent use of public resources.,Contributions to specific-purpose programmes and funds managed by implementing partners,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,NGM Americas,Pre-APP,2 - ICT as a tool for development;,,,"Budget Type:Revised;Start Date:2012-04-01;End Date:2013-03-31;Value Date:2012-12-19;Value:"$300,000"","Geoname Code:3718426;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:18.53917 -72.335","Reference:2012200001;Other Identifier Type:CRS Activity identifier",
CA-3-A032111001,2025-09-19	,Education for All,This project supports the implementation of the Honduran National Education Program. The Program focuses on the following elements: effectiveness of the education system  quality of teaching  pre-school education  special needs  bilingual intercultural education  and rural education networks. This project also supports the implementation of the Institutional Capacity Building Plan for the education sector  managed by the government of Honduras.,Terminating,2005-06-30	,2016-12-30	,"Honduras: 100.00%",Government of Honduras - Ministry of Education ,"Education policy and administrative management: 10.00%;Education facilities and training: 20.00%;Teacher training: 20.00%;Primary education: 40.00%;Early childhood education: 10.00%","$19,606,748",,,Results achieved as of March 2016 include: (1) the percentage of children age 12 or younger who graduated from 6th grade reached 73.1%  an increase from 63.1% obtained in 2013; (2) the performance in standardized tests for 6th grade Spanish was recorded at 73% (against the Education For All  goal for 2015 of 70%) and for Mathematics was recorded at 51% (against the Education For All  goal for 2015 of 70%); (3) primary education graduation rate of any age for children registered in schools was 99.35%. Insecurity remains an important challenge to children attending public schools. The repetition rate for 2015 presented an overall rate of 0.17% for basic education (Grades 1-6). The overall dropout rates for Grades 1-6 was 1.83%; (4) the project improved the quality of the learning environment for students by delivering  400 000 new school desks to primary schools across the country and  enhancing learning opportunities for students with the distribution of 853 628 Spanish texts and Math workbooks for Grades 1-2 and 96 643 Math and Spanish workbooks for Grades 3 through 6; (5) the contracting of the National Pedagogical University of Francisco Morazán to develop new curriculum for Grades 1 through 9 will allow the Government of Honduras to own the copyright on new textbooks  making revisions and reproduction of textbooks in future years less expensive and easier to manage.,Basket funds/pooled funding,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,NGM Americas,Pre-APP,2 - Children's issues; 1 - Youth Issues; 1 - Disability;,,,"Budget Type:Original;Start Date:2004-04-01;End Date:2005-03-31;Value Date:2005-06-30;Value:"$5,000,000";Budget Type:Original;Start Date:2005-04-01;End Date:2006-03-31;Value Date:2005-06-30;Value:"$5,000,000";Budget Type:Original;Start Date:2006-04-01;End Date:2007-03-31;Value Date:2005-06-30;Value:"$5,000,000";Budget Type:Original;Start Date:2007-04-01;End Date:2008-03-31;Value Date:2005-06-30;Value:"$5,000,000";Budget Type:Original;Start Date:2017-04-01;End Date:2018-03-31;Value Date:2005-06-30;Value:"$1,451"","Geoname Code:3608932;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:","Reference:2004000516;Other Identifier Type:CRS Activity identifier",
CA-3-A032121003,2025-09-19	,Support for the Education Sector in Senegal - Monitoring,This monitoring and evaluation initiative is a component of the Canadian budget support for the education sector in Senegal. This funding is allocated to monitor and evaluate budget support for the education sector in Senegal  for administrative purposes  and for contingencies. For administrative reasons  funds identified for these purposes are sometimes included in the main project budget  and sometimes (as in this case) assigned to a different project number.   It is important to note that this initiative is continually monitored and evaluated with other donors to Senegal. All monitoring and evaluation activities together enable us to measure the performance of our support for the education sector in Senegal  and the achievement of expected results.,Terminating,2007-12-18	,2017-03-30	,"Senegal: 100.00%",Uncoded,"Education policy and administrative management: 90.00%;Public finance management: 10.00%","$1,954,320",,,,Project-type interventions,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,WGM Africa,Pre-APP,1 - Participatory development and good governance; 2 - Children's issues; 1 - Youth Issues;,,,"Budget Type:Revised;Start Date:2008-04-01;End Date:2009-03-31;Value Date:2007-12-18;Value:"$156,901";Budget Type:Revised;Start Date:2009-04-01;End Date:2010-03-31;Value Date:2007-12-18;Value:"$287,280";Budget Type:Revised;Start Date:2010-04-01;End Date:2011-03-31;Value Date:2007-12-18;Value:"$208,761";Budget Type:Revised;Start Date:2011-04-01;End Date:2012-03-31;Value Date:2007-12-18;Value:"$352,687";Budget Type:Revised;Start Date:2012-04-01;End Date:2013-03-31;Value Date:2007-12-18;Value:"$153,914";Budget Type:Revised;Start Date:2013-04-01;End Date:2014-03-31;Value Date:2007-12-18;Value:"$318,443";Budget Type:Revised;Start Date:2014-04-01;End Date:2015-03-31;Value Date:2007-12-18;Value:"$270,874";Budget Type:Revised;Start Date:2015-04-01;End Date:2016-03-31;Value Date:2007-12-18;Value:"$205,455"","Geoname Code:2253354;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:14.6937 -17.44406","Reference:2009200050;Other Identifier Type:CRS Activity identifier",
CA-3-A032473001,2025-09-19	,National Languages Project,The goal of this project is to promote respect for language diversity and language rights within the Sri Lankan public service and among Sri Lankans. It draws on Canadian experience and expertise in official bilingualism to assist the government of Sri Lanka to enhance its capacity to deliver social services in Sri Lanka’s two official languages. The project also seeks to help the government leadership of national language policies and programs. The main counterpart is the Ministry of National Coexistence  Dialogue and Official Languages. Project activities include: (1) assisting the government of Sri Lanka to prepare a five-year language action plan; (2) assisting language departments to review their mandates and performance; (3) helping the government to draft a plan for a translation centre; (4) assisting civil society to promote language rights and social integration; and (5) assisting universities to establish undergraduate degree programs in translation and interpretation.,Terminating,2011-06-29	,2016-06-30	,"Sri Lanka: 100.00%",Alinea International Ltd ,"Public sector policy and administrative management: 40.00%;Democratic participation and civil society: 40.00%;Human rights: 20.00%","$5,103,281",,,Results achieved as of the end of the project (June 2016) include: (1) produced a Roadmap for Official Language Policy Implementation to guide the development of language plans by government institutions; (2) enhanced the capacity of the National Institute of Language Education and Training to deliver second language training to public servants; (3) established a Translation Centre in the Department of Languages  based on the Canadian Translation Bureau model; (4) supported eight civil society initiatives to promote language rights and social integration  reaching a total of 4 362 beneficiaries; and (5) established the first undergraduate programs in translation in Sri Lanka based on the Universities of Ottawa and Toronto programs.,Donor country personnel,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,OGM Indo-Pacific,Pre-APP,1 - Participatory development and good governance; 1 - ICT as a tool for development;,,,"Budget Type:Original;Start Date:2010-04-01;End Date:2011-03-31;Value Date:2011-06-29;Value:"$200,000";Budget Type:Original;Start Date:2011-04-01;End Date:2012-03-31;Value Date:2011-06-29;Value:"$1,500,000";Budget Type:Original;Start Date:2012-04-01;End Date:2013-03-31;Value Date:2011-06-29;Value:"$1,500,000";Budget Type:Original;Start Date:2013-04-01;End Date:2014-03-31;Value Date:2011-06-29;Value:"$1,500,000";Budget Type:Original;Start Date:2014-04-01;End Date:2015-03-31;Value Date:2011-06-29;Value:"$982,285"","Geoname Code:1248991;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:6.93194 79.84778","Reference:2011200016;Other Identifier Type:CRS Activity identifier",
CA-3-A032561001,2025-09-19	,Initial Training and Professional Development for the Haitian National Police's Managerial Staff,This project aims to enhance the professionalism of the Haitian National Police (HNP) through initial training and professional development for inspectors and commissioners. It supports the development of a new training curriculum and the development and implementation of the organizational and administrative structure for a training institution. Project activities include: (1) technical assistance to HNP for developing and implementing training programs using a skills-based approach; (2) train-the-trainer training; (3) development and implementation of the organizational and administrative structure for the National Police Academy and delivery of management training; (4) rehabilitation and preparation of temporary training premises; and (5) purchase of educational material and equipment. Activities planned in response to COVID-19 include outreach activities for populations adjacent to the PNA to limit the spread of the pandemic; food subsistence support for students as well as PNA employees  in addition to relaying the dissemination of MSPP communiqués and content (audio and video capsules).,Terminating,2010-07-23	,2021-09-30	,"Haiti: 100.00%",Association entre CRC Sogema UQTR  l'Université de Sherbrooke et le Collège de Maisonneuve Sherbrooke et le Collège de Maisonneuve,"Police: 100.00%","$23,121,420",,,Results achieved as of the end of the project (September 2021) include: (1) a total of 482 police officers (33 female police officers) graduated; (2) a total of 249 commissioners (12 female) and 233 inspectors (21 female inspectors) passed the program; (3) the National Police Academy has a comprehensive training program for commissioners and inspectors; (4) trained the academy's teacher-designers; (5) rehabilitated the academy's buildings; (6) built sanitary blocks and dormitories for the female officers; (7) upgrading of training spaces; (8) integration of gender equality in all courses; (9) ratified the human resources management policy; (10) ratified the management manual and study rules; (11) added the specific module on the fight against violence against women and girls to the course syllabus; and (12) the National Police Academy used the harassment prevention and resolution policy.,Project-type interventions,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,NGM Americas,Pre-APP,1 - Gender equality; 2 - Participatory development and good governance;,,,"Budget Type:Original;Start Date:2008-04-01;End Date:2009-03-31;Value Date:2010-07-23;Value:"$4,117,694";Budget Type:Original;Start Date:2009-04-01;End Date:2010-03-31;Value Date:2010-07-23;Value:"$3,588,051";Budget Type:Original;Start Date:2010-04-01;End Date:2011-03-31;Value Date:2010-07-23;Value:"$3,380,517";Budget Type:Original;Start Date:2011-04-01;End Date:2012-03-31;Value Date:2010-07-23;Value:"$3,163,704";Budget Type:Original;Start Date:2012-04-01;End Date:2013-03-31;Value Date:2010-07-23;Value:"$2,250,034";Budget Type:Original;Start Date:2017-04-01;End Date:2018-03-31;Value Date:2010-07-23;Value:"$1,237,919"","Geoname Code:3723988;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:","Reference:2008000636;Other Identifier Type:CRS Activity identifier",
CA-3-A032593001,2025-09-19	,Katalyst II: Business Services for Small Enterprises,This project supports a multi-donor initiative that aims to increase income and employment for women and men in rural and urban areas of Bangladesh by promoting the creation and growth of small and medium enterprises (SMEs). The goal of Katalyst is to enhance the enabling environment for SMEs and to improve their competitiveness through a market development approach. This approach entails improving the functioning of input markets and marketing networks  enhancing the capacity of business service providers  and promoting their linkages with small enterprises and farmers. Katalyst works with local government and SME associations to increase access to finance and capacity-building services and to improve the regulatory environment for SMEs in Bangladesh.   Katalyst II is funded by the United Kingdom  Switzerland  Canada  and the Netherlands. The total value of the project is $50.5 million. Canada is contributing $15.2 million to the project and is allocating $300 000 for CIDA-managed advisory services.,Terminating,2008-04-16	,2013-09-30	,"Bangladesh: 100.00%",SDC - Swiss Agency for Development and Cooperation ,"Business support services and institutions: 55.00%;Small and medium-sized enterprises (SME) development: 40.00%;Cottage industries and handicrafts: 3.00%;Agro-industries: 2.00%","$12,940,366",,,Results achieved as of the end of Canada’s contribution to the project (December 2013) include: (1) providing 2.3 million people (and about 20 300 service providers in total) with services to improve their businesses in various agriculture and agro-business sectors; (2) providing full-time employment to approximately 765 000 people through beneficiary farmers; and (3) contributing to creating up to 46 000 new full-time jobs in the agriculture and agro-business sectors and up to 100 000 new jobs in the wider economy.   These results have contributed to increasing the total income of project beneficiaries by between USD$171 million and USD$295 million as of December 2013.,Basket funds/pooled funding,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,OGM Indo-Pacific,Pre-APP,,,,"Budget Type:Original;Start Date:2008-04-01;End Date:2009-03-31;Value Date:2008-04-16;Value:"$2,955,707";Budget Type:Original;Start Date:2009-04-01;End Date:2010-03-31;Value Date:2008-04-16;Value:"$3,164,883";Budget Type:Original;Start Date:2010-04-01;End Date:2011-03-31;Value Date:2008-04-16;Value:"$3,187,281";Budget Type:Original;Start Date:2011-04-01;End Date:2012-03-31;Value Date:2008-04-16;Value:"$3,010,053";Budget Type:Original;Start Date:2012-04-01;End Date:2013-03-31;Value Date:2008-04-16;Value:"$1,900,000";Budget Type:Original;Start Date:2013-04-01;End Date:2014-03-31;Value Date:2008-04-16;Value:"$1,282,076"","Geoname Code:1185241;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:23.7104 90.40744","Reference:2008000274;Other Identifier Type:CRS Activity identifier",
CA-3-A032606002,2025-09-19	,Expanded Immunization Program Support - IDRC,This project aims to reduce infant mortality by reinforcing the Ministère de la santé publique et de la population (MSPP)’s Expanded Immunization Program (EIP) which expands routine immunization across all departments of the country. The project has three components: a trilateral vaccination initiative in collaboration with the Brazilian government (completed); institutional strengthening of the MSPP by the Pan American Health Organization (PAHO); and research-based advice and support from the International Development Research Centre (IDRC).   Through this project  IDRC manages scholarship-based research projects in which Canadian and Haitian researchers collaborate on strategies that help the MSPP to overcome key obstacles in the implementation of immunization programs. These main obstacles are the lack of immunization access  the integration of immunization within basic health service delivery  the incentives and support for health-care professionals  and the participation of the health care beneficiaries.,Terminating,2008-06-30	,2013-12-31	,"Haiti: 100.00%",IDRC - International Development Research Centre ,"Health policy and administrative management: 50.00%;Medical services: 25.00%;Infectious disease control: 25.00%","$994,310",,,Results achieved by March 2012 include: supporting four research proposals on: “The reasons of immunization dropouts in the Nippes” (concluded); “Improved control of preventable diseases in Haiti” (ongoing); “Epidemiology and feasibility of the implementation of the Human Papillomavirusvaccine in Haiti” (ongoing); “Efficiency of routine vaccination models in areas with low coverage in Haiti” (ongoing). The research documents are shared with health authorities in the hope of improving routine vaccination for children and reducing preventable diseases.,Donor country personnel,Bilateral,Aid grant excluding debt reorganisation,,Global Affairs Canada,NGM Americas,Pre-APP,1 - Gender equality; 1 - Youth Issues;,,,"Budget Type:Original;Start Date:2008-04-01;End Date:2009-03-31;Value Date:2008-06-30;Value:"$25,000";Budget Type:Original;Start Date:2009-04-01;End Date:2010-03-31;Value Date:2008-06-30;Value:"$250,000";Budget Type:Original;Start Date:2010-04-01;End Date:2011-03-31;Value Date:2008-06-30;Value:"$250,000";Budget Type:Original;Start Date:2011-04-01;End Date:2012-03-31;Value Date:2008-06-30;Value:"$250,000";Budget Type:Original;Start Date:2012-04-01;End Date:2013-03-31;Value Date:2008-06-30;Value:"$225,000"","Geoname Code:3718426;SRSName:http://www.opengis.net/def/crs/EPSG/0/4326;GeoCoordinates:18.53917 -72.335","Reference:2009200060;Other Identifier Type:CRS Activity identifier",
